
[+] General Parameters:
Training data:	/data3/jschaible/BTC_l2r/EvalData/L2R_Evaluation/jones.dk/foldsSAME/train_ots
Test data:	/data3/jschaible/BTC_l2r/EvalData/L2R_Evaluation/jones.dk/foldsSAME/test_ots
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	RR@5
Test metric:	RR@5
Feature normalization: No

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data


Reading feature file [/data3/jschaible/BTC_l2r/EvalData/L2R_Evaluation/jones.dk/foldsSAME/train_ots]: 0... 
Reading feature file [/data3/jschaible/BTC_l2r/EvalData/L2R_Evaluation/jones.dk/foldsSAME/train_ots]: 0... 
Reading feature file [/data3/jschaible/BTC_l2r/EvalData/L2R_Evaluation/jones.dk/foldsSAME/train_ots]: 0... 
Reading feature file [/data3/jschaible/BTC_l2r/EvalData/L2R_Evaluation/jones.dk/foldsSAME/train_ots]: 0... 
Reading feature file [/data3/jschaible/BTC_l2r/EvalData/L2R_Evaluation/jones.dk/foldsSAME/train_ots]: 0... 
Reading feature file [/data3/jschaible/BTC_l2r/EvalData/L2R_Evaluation/jones.dk/foldsSAME/train_ots]... [Done.]            
(149 ranked lists, 44700 entries read)

Reading feature file [/data3/jschaible/BTC_l2r/EvalData/L2R_Evaluation/jones.dk/foldsSAME/test_ots]: 0... 
Reading feature file [/data3/jschaible/BTC_l2r/EvalData/L2R_Evaluation/jones.dk/foldsSAME/test_ots]: 0... 
Reading feature file [/data3/jschaible/BTC_l2r/EvalData/L2R_Evaluation/jones.dk/foldsSAME/test_ots]: 0... 
Reading feature file [/data3/jschaible/BTC_l2r/EvalData/L2R_Evaluation/jones.dk/foldsSAME/test_ots]... [Done.]            
(74 ranked lists, 22200 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | RR@5-T    | RR@5-V    | 
---------------------------------
1       | 0.2804    | 
2       | 0.5665    | 
3       | 0.5994    | 
4       | 0.5988    | 
5       | 0.5988    | 
6       | 0.5988    | 
7       | 0.6021    | 
8       | 0.6224    | 
9       | 0.6292    | 
10      | 0.6292    | 
11      | 0.6537    | 
12      | 0.6705    | 
13      | 0.6878    | 
14      | 0.6879    | 
15      | 0.6879    | 
16      | 0.725     | 
17      | 0.7288    | 
18      | 0.7288    | 
19      | 0.7322    | 
20      | 0.7322    | 
21      | 0.7323    | 
22      | 0.7462    | 
23      | 0.7457    | 
24      | 0.7466    | 
25      | 0.7624    | 
26      | 0.7634    | 
27      | 0.7634    | 
28      | 0.7634    | 
29      | 0.7638    | 
30      | 0.7766    | 
31      | 0.7769    | 
32      | 0.7792    | 
33      | 0.7802    | 
34      | 0.7839    | 
35      | 0.7847    | 
36      | 0.7872    | 
37      | 0.7875    | 
38      | 0.7857    | 
39      | 0.7902    | 
40      | 0.7967    | 
41      | 0.8056    | 
42      | 0.8075    | 
43      | 0.8094    | 
44      | 0.8098    | 
45      | 0.8037    | 
46      | 0.8046    | 
47      | 0.8046    | 
48      | 0.8048    | 
49      | 0.8109    | 
50      | 0.8143    | 
51      | 0.8152    | 
52      | 0.8152    | 
53      | 0.8158    | 
54      | 0.8191    | 
55      | 0.8205    | 
56      | 0.8204    | 
57      | 0.8213    | 
58      | 0.8207    | 
59      | 0.8264    | 
60      | 0.8298    | 
61      | 0.8225    | 
62      | 0.8232    | 
63      | 0.8265    | 
64      | 0.8317    | 
65      | 0.8348    | 
66      | 0.8381    | 
67      | 0.8387    | 
68      | 0.8342    | 
69      | 0.8342    | 
70      | 0.8353    | 
71      | 0.8354    | 
72      | 0.8354    | 
73      | 0.836     | 
74      | 0.836     | 
75      | 0.8365    | 
76      | 0.8365    | 
77      | 0.8365    | 
78      | 0.8365    | 
79      | 0.8365    | 
80      | 0.8365    | 
81      | 0.8369    | 
82      | 0.8369    | 
83      | 0.837     | 
84      | 0.837     | 
